GeneID	OCV1a	OCV2a	OCV3a	OCV1b	OCV2b	OCV3b
FL622_00005	2	1	2	0	0	0
FL622_00010	1	0	3	0	1	0
FL622_00020	0	0	0	1	1	0
FL622_00030	1	4	0	1	2	1
FL622_00035	2	3	2	2	8	3
FL622_00040	0	0	0	1	0	0
FL622_00045	1	0	0	0	1	0
FL622_00050	0	1	0	1	3	4
FL622_00055	2	1	0	3	4	1
FL622_00060	32	13	9	56	36	32
FL622_00065	3	1	2	6	7	1
FL622_00070	0	0	2	5	0	1
FL622_00075	0	2	0	3	4	1
FL622_00080	1	0	0	1	0	0
FL622_00085	0	3	0	1	1	2
FL622_00090	1	2	2	4	4	2
FL622_00095	0	0	0	1	1	2
FL622_00100	0	0	1	1	1	0
FL622_00105	0	0	1	0	0	0
FL622_00115	0	0	0	0	1	0
FL622_00120	1	0	0	8	6	9
FL622_00125	1	6	4	8	7	4
FL622_00130	0	1	1	8	8	6
FL622_00135	0	0	1	0	0	1
FL622_00140	0	0	5	12	8	0
FL622_00145	2	1	3	5	1	1
FL622_00150	0	0	0	0	1	0
FL622_00155	0	0	0	0	0	0
FL622_00160	0	1	3	1	1	1
FL622_00165	0	1	0	0	0	1
FL622_00170	0	1	1	0	0	0
FL622_00175	1	4	2	4	6	8
FL622_00180	0	0	0	3	6	3
FL622_00185	4	3	5	5	2	1
FL622_00190	13	17	30	23	31	12
FL622_00195	3	2	4	4	10	0
FL622_00200	2	0	1	4	2	2
FL622_00205	2	1	0	7	3	1
FL622_00210	0	0	0	2	4	2
FL622_00215	1	1	1	0	3	0
FL622_00220	14	8	15	8	14	6
FL622_00225	0	0	1	5	4	1
FL622_00230	2	0	2	26	24	30
FL622_00235	13	10	13	67	81	58
FL622_00240	0	1	1	7	6	2
FL622_00245	5	3	14	0	4	4
FL622_00250	2	2	0	1	1	0
FL622_00255	0	0	0	0	0	0
FL622_00260	0	0	0	1	1	0
FL622_00265	7	3	0	1	0	1
FL622_00270	0	0	1	0	0	0
FL622_00275	0	0	0	0	0	0
FL622_00280	0	0	1	0	1	0
FL622_00285	212	218	393	430	469	515
FL622_00290	3	4	7	17	7	10
FL622_00295	1	3	0	9	7	5
FL622_00300	8	8	18	12	8	6
FL622_00305	2	1	1	2	0	4
FL622_00310	0	0	0	4	1	1
FL622_00315	0	2	0	5	4	4
FL622_00320	0	1	3	8	11	9
FL622_00325	5	2	13	7	10	7
FL622_00330	2	0	0	1	4	0
FL622_00335	0	0	1	1	2	0
FL622_00340	3	1	4	0	1	1
FL622_00345	4	3	10	1	4	2
FL622_00350	0	0	1	0	0	0
FL622_00355	0	0	0	2	4	2
FL622_00360	2	1	4	9	4	4
FL622_00365	1	1	1	5	5	3
FL622_00370	2	1	4	4	1	5
FL622_00375	1	0	0	3	1	1
FL622_00380	0	1	1	3	4	2
FL622_00385	2	1	0	13	7	10
FL622_00390	1	0	2	7	4	2
FL622_00395	0	0	0	1	1	1
FL622_00400	1	0	0	0	0	0
FL622_00405	0	1	0	4	2	2
FL622_00410	3	2	1	11	3	1
FL622_00415	31	43	42	4	7	6
FL622_00420	0	0	0	0	2	0
FL622_00425	1	5	7	6	7	8
FL622_00430	2	7	6	12	3	2
FL622_00435	0	1	1	2	1	2
FL622_00440	3	3	10	4	4	3
FL622_00445	4	8	3	1	0	3
FL622_00450	12	11	16	5	12	5
FL622_00455	3	4	5	1	0	0
FL622_00460	4	4	5	0	3	0
FL622_00465	0	5	2	8	7	5
FL622_00470	2	1	0	3	1	1
FL622_00475	1	5	5	13	8	4
FL622_00480	6	13	8	16	23	14
FL622_00485	1	3	4	22	16	12
FL622_00490	4	4	7	4	5	2
FL622_00495	0	3	2	1	2	1
FL622_00500	2	0	3	0	0	2
FL622_00505	7	2	8	5	8	3
FL622_00510	1	2	2	0	1	0
FL622_00515	0	1	1	0	1	1
FL622_00520	0	0	0	0	0	0
FL622_00525	0	0	0	0	0	0
FL622_00530	1	0	0	0	0	0
FL622_00535	0	0	0	0	0	0
FL622_00540	0	0	1	1	2	1
FL622_00545	0	1	1	4	1	0
FL622_00550	1	1	0	7	3	4
FL622_00555	0	4	4	18	9	10
FL622_00560	2	0	3	0	0	3
FL622_00565	0	0	0	1	1	0
FL622_00570	0	0	0	3	1	0
FL622_00575	6	15	12	4	3	0
FL622_00580	10	11	17	2	4	2
FL622_00585	0	1	5	1	3	0
FL622_00595	5	5	9	12	7	6
FL622_00600	1	2	1	0	0	1
FL622_00610	3	2	7	3	4	2
FL622_00615	2	2	3	0	0	0
FL622_00620	1	2	8	6	3	0
FL622_00625	8	5	6	7	8	5
FL622_00630	8	7	12	4	4	2
FL622_00635	1	1	2	1	2	1
FL622_00640	0	1	0	0	4	0
FL622_00645	2	1	3	11	5	0
FL622_00650	7	8	11	9	27	15
FL622_00655	0	0	0	0	0	0
FL622_00660	1	1	0	0	0	0
FL622_00665	0	1	0	0	0	0
FL622_00670	0	1	1	2	1	0
FL622_00675	3	3	6	2	1	2
FL622_00680	0	0	0	1	0	0
FL622_00685	1	0	0	0	0	0
FL622_00690	1	5	5	0	0	0
FL622_00695	1	1	0	4	2	0
FL622_00700	116	187	238	17	22	19
FL622_00705	1	8	9	0	0	2
FL622_00710	3	5	12	0	1	0
FL622_00715	2	5	4	2	0	1
FL622_00725	0	1	1	1	0	0
FL622_00730	1	0	1	2	1	0
FL622_00735	2	1	2	8	5	5
