GeneID	F4a	F5a	F6a	F4b	F5b	F6b
FL622_00005	0	1	0	0	0	0
FL622_00010	0	1	0	0	0	0
FL622_00020	0	5	4	0	0	0
FL622_00030	8	2	6	0	0	0
FL622_00035	9	5	3	13	0	2
FL622_00040	7	3	2	3	1	0
FL622_00045	2	4	1	2	0	0
FL622_00050	9	10	10	5	0	0
FL622_00055	13	7	8	6	0	0
FL622_00060	45	18	10	56	22	11
FL622_00065	18	15	10	16	8	1
FL622_00070	6	5	4	5	1	2
FL622_00075	5	3	6	2	2	0
FL622_00080	3	2	5	3	1	0
FL622_00085	4	2	7	5	1	1
FL622_00090	9	10	9	4	1	1
FL622_00095	3	1	3	3	0	0
FL622_00100	0	3	6	3	0	0
FL622_00105	1	2	0	0	0	0
FL622_00115	0	3	2	0	0	0
FL622_00120	7	5	8	1	0	0
FL622_00125	22	23	25	22	12	3
FL622_00130	12	9	9	9	2	0
FL622_00135	1	2	1	1	0	0
FL622_00140	15	15	18	6	1	0
FL622_00145	11	7	7	2	0	0
FL622_00150	2	1	2	0	0	0
FL622_00155	2	1	6	2	0	0
FL622_00160	5	16	8	2	0	0
FL622_00165	4	5	5	0	0	0
FL622_00170	5	7	13	1	0	0
FL622_00175	14	24	10	9	5	1
FL622_00180	11	28	24	9	1	2
FL622_00185	11	28	15	5	0	0
FL622_00190	111	131	171	21	2	3
FL622_00195	20	15	19	2	0	0
FL622_00200	19	14	18	4	0	0
FL622_00205	6	11	12	1	0	0
FL622_00210	3	5	7	0	1	0
FL622_00215	6	15	10	0	0	0
FL622_00220	43	46	34	2	0	1
FL622_00225	6	8	7	2	0	0
FL622_00230	21	10	9	30	12	8
FL622_00235	64	16	28	84	12	11
FL622_00240	5	4	2	5	0	0
FL622_00245	42	76	68	2	0	1
FL622_00250	7	12	17	1	0	1
FL622_00255	0	1	0	0	0	0
FL622_00260	0	5	1	0	0	0
FL622_00265	8	5	3	4	4	1
FL622_00270	2	3	1	0	0	0
FL622_00275	0	2	0	0	0	0
FL622_00280	0	2	3	1	1	0
FL622_00285	713	1101	1064	34	14	6
FL622_00290	24	27	30	3	0	0
FL622_00295	23	21	16	0	0	0
FL622_00300	23	40	21	2	0	1
FL622_00305	7	12	6	1	2	0
FL622_00310	1	2	1	5	3	0
FL622_00315	7	4	1	7	5	0
FL622_00320	24	29	22	12	3	1
FL622_00325	11	20	16	14	12	3
FL622_00330	7	10	13	3	2	0
FL622_00335	8	13	15	2	1	0
FL622_00340	7	15	9	2	0	3
FL622_00345	32	31	32	10	9	3
FL622_00350	3	4	4	1	0	0
FL622_00355	3	5	8	3	1	0
FL622_00360	11	26	18	13	1	1
FL622_00365	8	5	4	3	0	0
FL622_00370	24	19	28	9	2	0
FL622_00375	7	11	7	5	5	1
FL622_00380	9	5	14	3	3	0
FL622_00385	20	12	12	11	3	0
FL622_00390	16	8	8	14	4	1
FL622_00395	1	1	4	9	1	0
FL622_00400	1	1	2	4	2	0
FL622_00405	4	0	5	2	0	2
FL622_00410	13	14	15	3	5	0
FL622_00415	258	186	212	14	0	1
FL622_00420	8	3	6	2	0	0
FL622_00425	32	36	42	15	3	0
FL622_00430	30	36	21	4	22	2
FL622_00435	19	17	26	2	5	0
FL622_00440	48	44	54	2	28	3
FL622_00445	29	21	26	1	11	1
FL622_00450	61	45	56	11	25	13
FL622_00455	23	26	31	4	1	0
FL622_00460	19	18	16	1	0	0
FL622_00465	17	14	10	23	9	0
FL622_00470	10	7	1	2	0	0
FL622_00475	24	18	20	12	11	1
FL622_00480	51	39	26	39	38	13
FL622_00485	20	16	23	45	28	8
FL622_00490	30	49	38	5	3	2
FL622_00495	10	12	12	7	5	1
FL622_00500	4	5	10	3	2	2
FL622_00505	22	19	21	12	1	1
FL622_00510	7	17	7	4	0	0
FL622_00515	5	7	6	1	1	0
FL622_00520	1	1	4	3	0	1
FL622_00525	3	6	3	3	1	0
FL622_00530	2	1	1	0	0	0
FL622_00535	0	2	0	1	0	0
FL622_00540	4	1	3	0	0	0
FL622_00545	5	11	9	3	0	0
FL622_00550	15	12	12	1	0	0
FL622_00555	28	24	17	26	8	2
FL622_00560	11	16	21	0	2	0
FL622_00565	7	5	7	5	3	0
FL622_00570	5	5	1	1	0	0
FL622_00575	88	171	121	14	2	0
FL622_00580	96	151	170	11	1	1
FL622_00585	17	21	22	1	0	0
FL622_00595	40	39	59	17	2	0
FL622_00600	6	5	1	2	0	0
FL622_00610	28	25	25	6	1	0
FL622_00615	19	26	25	1	0	0
FL622_00620	10	10	22	1	0	0
FL622_00625	53	90	88	6	0	0
FL622_00630	58	74	63	8	1	0
FL622_00635	24	36	42	1	1	0
FL622_00640	8	7	10	0	0	0
FL622_00645	9	12	13	6	0	0
FL622_00650	67	47	74	19	11	1
FL622_00655	4	2	6	0	1	0
FL622_00660	1	7	5	0	0	0
FL622_00665	3	2	3	1	0	0
FL622_00670	6	4	8	0	0	1
FL622_00675	26	51	47	4	0	0
FL622_00680	5	11	7	1	1	0
FL622_00685	7	6	14	0	0	0
FL622_00690	8	16	12	0	0	0
FL622_00695	10	18	23	1	1	0
FL622_00700	744	1191	984	59	20	8
FL622_00705	26	50	37	2	0	0
FL622_00710	18	42	19	0	0	1
FL622_00715	7	15	11	1	0	0
FL622_00725	7	4	6	1	0	0
FL622_00730	8	14	9	5	2	1
FL622_00735	18	20	11	11	3	1
FL622_00740	90	88	55	39	52	23
FL622_00745	62	84	49	39	35	16
FL622_00750	43	27	31	7	0	0
FL622_00755	7	9	7	5	5	1
FL622_00760	13	11	7	10	5	1
FL622_00765	47	65	51	4	1	0
FL622_00770	24	16	14	0	0	0
FL622_00775	30	39	40	2	0	0
FL622_00780	9	13	9	1	0	1
FL622_00785	14	11	14	0	0	0
FL622_00790	11	29	28	3	0	0
FL622_00795	17	18	19	2	0	0
FL622_00800	15	19	19	1	0	0
FL622_00805	7	4	6	0	0	0
FL622_00810	9	2	8	1	0	0
FL622_00815	1	7	2	1	0	0
FL622_00820	5	4	5	0	0	0
FL622_00825	5	2	3	0	0	0
FL622_00830	3	2	2	1	0	0
FL622_00835	7	12	10	2	0	0
FL622_00840	2	1	3	1	0	0
FL622_00845	3	6	1	1	0	0
FL622_00850	3	7	3	0	3	0
FL622_00855	0	6	4	0	0	1
FL622_00860	23	16	17	0	1	0
FL622_00865	12	15	13	1	1	0
FL622_00870	8	8	11	1	0	1
FL622_00875	17	10	11	5	0	0
FL622_00880	16	8	7	6	0	0
FL622_00885	5	1	3	0	0	0
FL622_00890	4	2	1	0	0	0
FL622_00895	12	2	7	3	1	0
FL622_00900	3	4	6	2	0	0
FL622_00905	7	7	8	8	0	0
FL622_00910	12	10	9	9	6	2
FL622_00915	1	3	2	1	0	1
FL622_00920	6	7	11	7	0	0
FL622_00925	5	5	2	2	0	1
FL622_00930	4	6	3	4	1	0
FL622_00935	27	24	26	23	5	1
FL622_00940	3	5	4	5	3	3
FL622_00945	11	8	8	6	3	3
FL622_00950	3	4	4	12	5	1
FL622_00955	7	22	14	2	2	0
FL622_00960	4	10	3	0	0	0
FL622_00965	6	2	4	0	0	0
FL622_00970	8	14	13	0	0	0
FL622_00975	7	12	21	0	0	0
FL622_00980	15	32	33	1	0	0
FL622_00985	4	8	6	3	2	0
FL622_00990	9	10	14	1	1	0
FL622_00995	10	11	8	2	2	2
FL622_01000	17	17	13	1	1	1
FL622_01005	35	47	54	4	4	0
FL622_01010	9	4	4	0	0	0
FL622_01015	60	112	61	4	1	0
FL622_01020	14	15	11	0	0	0
FL622_01025	5	4	8	0	0	0
